id,text,playCount,shareCount,commentCount,authorMeta_name,authorMeta_nickName,authorMeta_verified,musicMeta_musicName,musicMeta_musicAuthor,musicMeta_musicOriginal,videoMeta_duration
6886856236667636993,10sec VS 10min VS 1uur. Zien hoe in het in een langere tijd doe? Kijk snel op mijn YouTube 🥰 #voorjou #foryou #fy #tekenen #ipad #procreate,67000,1,67,manoulucia,manou💗🎨,False,original sound,manou💗🎨,True,14
6899676363188473093,#fyp #dancechallenge #playstation #addisonrae #charlidamelio #billieeilish #tatemcrae #arianagrande #dualipa #dixiedamelio #madisonbeer,478400,2564,5892,notetaking.aesthetic,follow me,False,Playstation,Ali Berke,False,15
6903061991225691394,,1700000,518,370,vedatcamoglu06,vedatcam06✅,False,orijinal ses,vedatcam06✅,True,20
6876374255974501633,Rate It 1/10,5100000,2491,2765,relaxify,RELAXIFY | Oddly Satisfying,False,Toosie Slide,Drake,False,10
6902810912416189701,245lbs 💪🏼 Tag your strongest friends! Duet this with your best attempts 💪🏼 @sumnerhaye where you at? #deads #deadlift @blackstonelabsofficial,133900,598,387,kristengrahamsfb,Kristen Graham,False,Can I Get an Outlaw,Luke Combs,False,25
6889412761927847169,En ik ga d’r als een hertje achteraan💕,44800,113,30,keej4y,C,False,true love by pink,alyssaaudios,True,8
6904256013650758914,Storytime #vjp #voorjou #fyp #foryou #dutch #tiktoknl #vriendin #storytime #viral #xyzbca,253000,228,179,ivarvanleijsen,Ivar van Leijsen,False,original sound,Grace Groski,True,59
6908266212787047686,The pupil to drench surface #LoveStory #cake,219700,11,91,newtfedaqw,user8655986924744,False,Sean Kingston & Justin Bieber - Eenie Meenie,Alex hampstead,True,10
6886527144478936321,No❤️ #fyp #foryou #voorjou,53000,212,183,kaledoos,Anna,False,original sound,vintage,True,11
6883063619202993409,We back up on this ho #fy #tinder #rating #nieuwdakkie,16900,128,43,sam.spiess,Sam,False,Chill Beat,El Esca,False,59
